発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1989-04-01,データイースト,魔界八犬伝SHADA,-,2,RPG,"￥5,800","￥6,000代",0,1,,巌光生,T.OGAWA|T.SUZUKI|GUMON|K.KAMIMURA,M.RAI|T.ITO|巌光生,酒井省吾|岩崎正明|三浦孝史|濱田誠一|鈴木雄司|高濱祐輔,,,
1989-04-19,メサイヤ,エナジー,-,2,ACT,"￥5,200","￥5,000代",0,1,,,,,,,,
1989-04-21,ナムコ,ワンダーモモ,-,2,ACT,"￥6,800","￥7,000代",0,1,,,弓達公雄,,弓達公雄,,,
1989-04-27,ハドソン,凄ノ王伝説(Vol.17),-,4,RPG,"￥6,500","￥6,500代",0,1,,,,,,,,
1989-05-25,ハドソン,パワーゴルフ(Vol.18),-,3,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-05-30,ナグザット,ナグザットオープン,-,3,SPT,"￥6,300","￥6,500代",0,1,,,,,,,,
1989-05-30,ナグザット,ナグザットスタジアム,-,4,SPT,"￥6,300","￥6,500代",0,1,,,,,,,,
1989-06-01,ナムコ,パックランド,30,2,ACT,"￥5,200","￥5,000代",0,1,,,岸本好弘,佐藤誠市|根來司|小野浩,慶野由利子,,,
1989-06-19,ビデオシステム,わいわい麻雀,-,3,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-06-22,ヒューマン,ファイヤープロレスリングコンビネーションタッグ,-,3,SPT,"￥6,300","￥6,500代",0,1,,,増田雅人|林徹,増田雅人|笹沢英昭|笹沢英昭|小林裕一|中島良一,橋本正樹,,,
1989-06-23,フェイス,サイバークロス,-,4,ACT,"￥6,300","￥6,500代",0,1,,,,,,,,
1989-06-28,ビッグクラブ,神武伝承,-,4,ACT,"￥6,700","￥6,500代",0,1,,,,,,,,
1989-06-30,タイトー,ニンジャウォーリアーズ,-,3,ACT,"￥6,200","￥6,000代",0,1,,緒方正樹,永田喜久|岩崎雄二|わたべよしゆき|緒方正樹|佐々木大輔,辻野浩司|石川幸生,小倉久佳,辻野浩司,末角要次郎,
1989-07-07,ハドソン,ガンヘッド(Vol.19),30,3,SHT,"￥6,200","￥6,000代",0,1,,,,,,,,
1989-07-07,ナムコ,ファイナルラップツイン,30,3,RCG,"￥6,200","￥6,000代",0,1,,,,,細江慎治,,,
1989-07-14,NECアベニュー,サイドアーム,-,2,SHT,"￥5,400","￥5,500代",0,1,,,,,,,,
1989-07-28,エイコム,武田信玄,-,2,ACT,"￥5,600","￥5,500代",0,1,,,,,,,,
1989-08-04,マイクロキャビン,めぞん一刻,-,2,ADV,"￥5,900","￥6,000代",0,1,,,,,周防義和,岡田惠和,,
1989-08-08,ハドソン,パワーリーグII(Vol.20),31,3,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-08-10,ナグザット,ブレイクイン,30,2,ETC,"￥5,500","￥5,500代",0,1,,,,,,,,
1989-08-25,NECアベニュー,F1ドリーム,-,2,RCG,"￥5,400","￥5,500代",0,1,,,,,松前真奈美,,,
1989-08-25,ビッグクラブ,ロックオン,-,4,SHT,"￥6,700","￥6,500代",0,1,,,,,,,,
1989-09-01,データイースト,ならずもの戦闘部隊ブラッディウルフ,-,4,ACT,"￥6,500","￥6,500代",0,1,,,,,,,,
1989-09-08,ナムコ,オーダイン,-,4,SHT,"￥6,800","￥7,000代",0,1,,すなどりねこさん|ウォンウォン,スローロ田中,大石益也|小森谷勇一郎|安斎じゅんこ|インドリ中村,細江慎治,,中村雅哉,
1989-09-15,ハドソン,スーパー桃太郎電鉄(Vol.21),-,3,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-09-22,NECアベニュー,獣王記,-,4,ACT,"￥5,800","￥6,000代",0,1,,,穂苅健一(AC)|浅井敏典(MD)|松田達夫(MD)|百田浩司(MD),内田誠(AC)|安原広和(AC)|NO NUKES(MD)|HAGA(AC)|梶本隆博(AC)|小玉理恵子(MD)|UDI(MD),中林亨(AC)|長井和彦(MD),,,
1989-09-29,NEC-HE,アーティストツール,-,2,ETC,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-09-29,メサイヤ,ダブルダンジョン,-,2,RPG,"￥5,500","￥5,500代",0,1,,,,,,,,
1989-10-13,ナグザット,デジタルチャンプバトルボクシング,-,2,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-10-20,トンキンハウス,竜の子ファイター,-,3,ACT,"￥5,600","￥5,500代",0,1,,,,,,,,
1989-10-31,ハドソン,ドラえもん迷宮大作戦(Vol.22),-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,
1989-11-03,インテック,都留照人の実戦株式倍バイゲーム,-,2,SLG,"￥9,800","￥10,000代",0,1,,,,,,,,
1989-11-17,ハドソン,ニュートピア(Vol.23),-,3,A-PRG,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-11-17,フェイス,麻雀学園東間宗四郎登場,32,4,ETC,"￥7,980","￥8,000代",0,1,,,,,,,,
1989-11-22,サリオ,大地くんクライシス,32,3,SLG,"￥6,400","￥6,500代",0,1,,TARO,MICHEL,YOSIMI SEKI|ISOBEE|ALICE|チャイコフ YANO|NAKAJIMA,TSUKUSHI,,TATSUYA SHIMAZU|YUZO NAKAKUKI,
1989-11-23,ビクター音楽産業,ジャックニクラウスチャンピオンシップゴルフ,-,2,SPT,"￥6,200","￥6,000代",0,1,,,,,,,,
1989-11-25,タイトー,バリバリ伝説,-,3,RCG,"￥6,600","￥6,500代",0,1,,,,,新田一郎,渡邊由自/渡辺麻実,,
1989-11-30,ハドソン,バトルエース,-,4,SHT,"￥6,500","￥6,500代",0,1,,,,,前野知常,,,
1989-12-01,NEC-HE/ハドソン,CD-ROM2SYSTEMVer2.0,-,2,SYS,"￥57,300","￥57,500代",0,1,,,,,,,,
1989-12-01,アイレム,Mr.HELIの大冒険(Vol.2),-,4,SHT,"￥6,700","￥6,500代",0,1,,,,,,,,
1989-12-01,エイコム,USAプロバスケットボール,-,2,SPT,"￥5,600","￥5,500代",0,1,,,,,,,,
1989-12-08,クリーム,ブルファイトリングの覇者,-,2,SPT,"￥6,300","￥6,500代",0,1,,,,,,,,
1989-12-08,アスミック,忍SHINOBI,-,3,ACT,"￥6,800","￥7,000代",0,1,,菅野豊,,,川上康広,,,
1989-12-15,ハドソン,PC原人(Vol.24),-,3,ACT,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-12-15,インテック,これがプロ野球'89,-,2,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-12-22,パックインビデオ,ナイトライダースペシャル,-,2,RCG,"￥5,800","￥6,000代",0,1,,,,,,,,
1989-12-22,タイトー,ヘビーユニット,-,3,SHT,"￥6,600","￥6,500代",0,1,,金子浩,いがらしすぐる|Y.YAMAUCHI|かとうたけお,まつおかけいすけ|たじまとくひさ|いちかわひでふみ|ふなつあやこ|おきもととしこ|A.YAZAKI,渡辺達也|あいずせいいち,,,
1989-12-22,サンソフト,弁慶外伝(Vol.2),-,3,RPG,"￥6,200","￥6,000代",0,1,,,,,,,,
1989-12-23,ヒューマン,F1トリプルバトル,-,3,RCG,"￥6,300","￥6,500代",0,1,,,,,,,,
1989-12-27,タイトー,ヴォルフィード,30,3,PZL,"￥6,600","￥6,500代",0,1,,,こばやしよしのり|つかのとしあき|おきよういち,三辻富貴朗|三辻富貴朗|讃岐平|栗城源也,小倉久佳,,,
1990-01-19,UPL,アトミックロボキッド(Vol.1),-,4,SHT,"￥6,700","￥6,500代",0,1,,,,,,,,
1990-01-26,メサイヤ,ガイフレーム,-,3,SLG,"￥5,800","￥6,000代",0,1,,,,,,,,
1990-01-26,タイトー,タイトーチェイスH.Q.,30,3,RCG,"￥6,600","￥6,500代",0,1,,,,酒匂弘幸,浅野孝已,,,
1990-01-26,ナグザット,逐電屋藤兵衛,-,4,ADV,"￥6,700","￥6,500代",0,1,,,,ほほ梅麿,,藤木隻,,
1990-02-01,ニチブツ,麻雀刺客列伝麻雀ウォーズ,-,2,ETC,"￥5,400","￥5,500代",0,1,,,,,,,,
1990-02-07,ビデオシステム,スーパーバレーボール,-,2,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,
1990-02-23,タイトー,ニュージーランドストーリー,-,3,ACT,"￥6,600","￥6,500代",0,1,,,,,小倉久佳|山田靖子|渡部恭久,,,
1990-02-23,ハドソン,ブロディア(Vol.25),-,1,PZL,"￥4,500","￥4,500代",0,1,,,,,,,,
1990-02-23,ビクター音楽産業,虎への道,-,3,ACT,"￥6,700","￥6,500代",0,1,,リー・ウォン|藤原得郎,,,河本圭代|藤田晴美,,,
1990-02-23,メサイヤ,飛装騎兵カイザード,-,3,SLG,"￥6,200","￥6,000代",0,1,,,,,,,,
1990-03-01,ナグザット,パラノイア,-,2,SHT,"￥5,800","￥6,000代",0,1,,,,,,,,
1990-03-02,サンソフト,シティハンター,-,3,ACT,"￥6,300","￥6,500代",0,1,,,,,,北条司,,
1990-03-02,タイトー,スペースインベーダーズ復活の日,-,2,SHT,"￥5,900","￥6,000代",0,1,,,,,岩垂徳行,,,
1990-03-02,メサイヤ,謎のマスカレード,-,4,ADV,"￥6,000","￥6,000代",0,1,,,,,,,,
1990-03-09,I.G.S.,サイバーコア,-,3,SHT,"￥6,700","￥6,500代",0,1,,ひさとみけんじ,望月成|BOKEGI!,加藤清文|久保田覚|ゆもとまさしげ,村井俊夫|寺本昌弘,神山修一,よこやまことし,
1990-03-10,ナムコ,源平討魔伝,32,4,ACT,"￥6,800","￥7,000代",0,1,,,大久保良一,阿部信彦|高橋由鬼夫|穴田悟,中潟憲雄,高橋由鬼夫|大久保良一|中潟憲雄,,
1990-03-16,メディアリング,倉庫番ワールド,-,1,PZL,"￥5,400","￥5,500代",0,1,,,,,,,,
1990-03-23,パックインビデオ,アームドF,-,2,SHT,"￥6,700","￥6,500代",0,1,,たなかたかのり,とみやまおさむ|ふじわらさとし,こばやしともあき|筒井久弥|くぼたしんじ,吉田健志,,,
1990-03-27,タイトー,奇々怪界,-,4,ACT,"￥5,500","￥5,500代",0,1,,波多野幹夫,石田一朋|佐々木大輔,薮崎久也|西村年幸|三方一哉,小倉久佳(ZUNTATA),,,
1990-03-30,ハドソン,BEBALL(Vol.28),-,2,ACT,"￥5,200","￥5,000代",0,1,,,,,,,,
1990-03-30,ビクター音楽産業,キングオブカジノ,-,2,ETC,"￥6,200","￥6,000代",0,1,,,,,,,,
1990-03-30,データイースト,ドロップロックほらホラ,-,2,ACT,"￥5,900","￥6,000代",0,1,,,,,,,,
1990-03-30,ナグザット,熱血高校ドッジボール部PC番外編,-,2,SPT,"￥5,900","￥6,000代",0,1,,,,,,,,
1990-04-03,ナムコ,スプラッターハウス,-,4,ACT,"￥6,800","￥7,000代",0,1,,横山茂,PSQGL,石田正則,田島勝朗|川元義徳,,水野一実,
1990-04-06,ナグザット,サイコチェイサー,-,2,SHT,"￥5,800","￥6,000代",0,1,,,,,,,,
1990-04-06,ハドソン,魔動王グランゾート,-,4,ACT,"￥6,500","￥6,500代",0,1,,,,スタジオ・ライブ|大河原邦男,田中公平,広井王子,,
1990-04-13,アスミック,パワードリフト,-,4,RCG,"￥6,900","￥7,000代",0,1,,,,鈴木裕,川口博史,,,
1990-04-20,アスク講談社,ネクロスの要塞,30,4,RPG,"￥6,800","￥7,000代",0,1,,,,,,,,
1990-04-27,ナムコ,バルンバ,-,4,SHT,"￥6,800","￥7,000代",0,1,,,まつだこうじ|三好弘二|吉嶺豊彦,梶井健|宮串英明|MACOT.E|M.TAMURA|D.KIYASU,伊藤真樹子|西川浩史,,,
1990-04-27,ヒューマン,フォーメーションサッカーヒューマンカップ90,30,2,SPT,"￥5,500","￥5,500代",0,1,,,,,,,,
1990-04-27,ハドソン,青いブリンク,-,3,ACT,"￥6,200","￥6,000代",0,1,,,,,,,,
1990-05-25,ハドソン,マニアックプロレス(Vol.27),-,4,SPT,"￥6,500","￥6,500代",0,1,,,,,,,,
1990-05-31,タイトー,ドンドコドン,-,3,ACT,"￥5,800","￥6,000代",0,1,,,石田一朋|木下昌也,河上聖治|石川幸生|阿部幸雄|いしのみのり|沼田和博|五十嵐恒三|しのだてつや|V.A.P,高木正彦|山田靖子,,河上聖治|松本俊明|酒匂弘幸,
1990-06-02,I.G.S.,シンドバッド地底の大魔宮,-,3,RPG,"￥6,700","￥6,500代",0,1,,すずきさとし|梅津真人,S.KONEOH|PAPANDA|MICRO FACTORY,とみたかしょうぞう|いまいあきこ|とみたかいずみ|N.URUSIBARA|H.OTA|加藤清文,村井俊夫,神山修一,ひさとみけんじ,
1990-06-15,ビクター音楽産業,ヴェイグス,-,3,ACT,"￥6,700","￥6,500代",0,1,,もりくまなお,,もりくまなお|安住政敏|末弥純,メカノアソシエイツ,竹内誠|上坂哲,,
1990-06-22,NECアベニュー,ダウンロード,-,4,SHT,"￥6,800","￥7,000代",0,1,,,,,,,,
1990-06-29,インテック,これがプロ野球'90,-,2,SPT,"￥5,800","￥6,000代",0,1,,,,,,,,
1990-06-29,ナムコ,ゼビウスファードラウト伝説,-,2,SHT,"￥5,800","￥6,000代",0,1,,仁井谷正充,國廣豊史,河野光|JANUS寺本|國廣豊史|NIPPON CHACHACHA,宮本昌知,,河野光,
1990-06-29,タイトー,パズニック,-,2,PZL,"￥5,900","￥6,000代",0,1,,,,,,,,
1990-06-29,フェイス,麻雀学園MILD東間宗四郎登場,-,4,ETC,"￥7,980","￥8,000代",0,1,,,,,,,,
1990-07-06,NEC-HE/ハドソン,CD-ROM2SYSTEMVer2.1,-,2,SYS,"￥4,800","￥5,000代",0,1,,,,,,,,
1990-07-06,ハドソン,スーパースターソルジャー(Vol.30),34,4,SHT,"￥6,500","￥6,500代",0,1,,,,,,,上領亘,
1990-07-06,タイトー,ラスタンサーガII,-,3,ACT,"￥6,600","￥6,500代",0,1,,小林よしのり,小林よしのり|とみたかひであき|たかはしとおる|かざまひでお,西村年幸|西村年幸|讃岐平|河上聖治|栗城源也,八木下直人|高木正彦,,小林よしのり,
1990-07-06,アイレム,最後の忍道NINJASPIRIT(Vol.4),32,4,ACT,"￥7,000","￥7,000代",0,1,,,,,,,,
1990-07-13,ナムコ,超絶倫人ベラボーマン,-,4,ACT,"￥6,800","￥7,000代",0,1,,中潟憲雄,大久保良一,吉羽孝雄,中潟憲雄,,,
1990-07-20,ナグザット,デビルクラッシュ,34,3,ETC,"￥6,300","￥6,500代",0,1,,,,,迫田敏明|塚本雅信,,,
1990-07-20,ハドソン,桃太郎伝説ターボ(Vol.29),30,3,RPG,"￥5,800","￥6,000代",0,1,,,,,,,,
1990-07-27,アイレム,イメージファイト(Vol.3),30,4,SHT,"￥7,000","￥7,000代",0,1,,,,,,,,
1990-07-27,パックインビデオ,ロードランナー失われた迷宮(ロストラビリンス),-,2,PZL,"￥5,800","￥6,000代",0,1,,,,,,,,
1990-07-27,I.G.S.,ワールドビーチバレー,-,2,SPT,"￥5,700","￥5,500代",0,1,,,,,,,,
1990-07-27,NECアベニュー,大魔界村,32,6,ACT,"￥10,800","￥11,000代",0,1,,,小池ひろし|篠原雅嗣|上山真一|菅原伸育,藤原得郎|吉本伸一|山本尚司,河本圭代,,,
