発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1994-01-28,セガ,いしいひさいちの大政界💿,-,16,-,-,-,0,💿メガCD,,石井達也,島軒惣兵工|石黒雄一,石井達也|赤桐裕二|いしいひさいち,高山博彦,大蔵圭一,大岡良樹|渡辺雅人,
1994-02-25,シムス,真・女神転生💿,-,16,-,-,-,0,💿メガCD,,岡田耕始,佐藤雅美|岡田耕始|國枝剛|高木秀俊,伊藤龍太郎|藤岡一樹|しまだよしあき|鈴木一也(遊企画)|佐藤佐和子|村上哲也|片岡いずみ|高島志郎|金子一馬,増子司,鈴木一也|伊藤龍太郎,新野洋右,
1994-02-25,ビクター,マイクロコズム💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-03-18,セガ,ゲームのかんづめVOL.1💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-03-18,セガ,ゲームのかんづめVOL.2💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-03-18,日本物産,F1サーカスCD💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-03-18,ビクター,ハイムドール💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-03-25,コーエー,信長の野望覇王伝💿,-,16,-,-,-,0,💿メガCD,,,,,菅野よう子,,シブサワ・コウ,
1994-03-25,セガ,AX-101💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-03-25,セガ,ウイングコマンダー💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-03-25,ビクター,ダンジョン・マスター2スカルキープ💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-04-01,セガ,ぽっぷるメイル💿,-,16,-,-,-,0,💿メガCD,,木屋善夫,永嶋純,今井浩之|塩田雄一|田中久仁彦,石川三恵子|白川篤史,,加藤正幸,
1994-04-15,ゲームアーツ,うる星やつらディアマイフレンズ💿,-,16,-,-,-,0,💿メガCD,,上坂哲,岡部博明|工藤直樹|金井秀樹|渡谷光浩|中村博史,中嶋敦子|押木賢,大熊謙一,上坂哲|須永有三|月島とほる,宮路洋一|菅沼孝夫,
1994-04-15,マイクロネット,バトルファンタジー💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-04-22,ソニー,爆伝アンバランスゾーン💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-04-22,ポニーキャニオン,アイ・オブ・ザ・ビホルダー💿,-,16,-,-,-,0,💿メガCD,,ブルット・W・スペリー(英語版),フィリップ・W・ゴロー,フィリップ・W・ゴロー|イーディ・ララモア|ポール・S・ムードラ|ジョセフ・ボスティック|リック・パークス|アーロン・E・パウエル|ジョセフ・B・ヒューイット4世,ポール・S・ムードラ,イーディ・ララモア,,
1994-04-23,セガ,ヘブンリーシンフォニー💿,-,16,-,-,-,6,💿メガCD,,,,,,,,
1994-05-13,東映ビデオ,仮面ライダーZO💿,-,16,-,-,-,0,💿メガCD,,,,,川村栄二,石ノ森章太郎,,
1994-05-20,セガ,ロードス島戦記英雄戦争💿,-,16,-,-,-,7,💿メガCD,,,,,,,,
1994-06-03,アクレイムジャパン,モータルコンバット完全版💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-06-03,セガ,ドラゴンズレア💿,-,16,-,-,-,0,💿メガCD,,,マイケル・クナウアー|ヴィンス・リー,リック・ダイアー|ビクター・ペンマン|マーティ・フォールガー|ダーリーン・ウォディントン|ドン・ブルース,クリストファー・ストーン,,,
1994-06-24,アクレイムジャパン,WWFマニア・ツアー💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-07-22,セガ,シャイニング・フォースCD💿,-,16,-,-,-,13,💿メガCD,,,,,,,,
1994-07-29,ビクター,シャドー・オブ・ザ・ビースト2獣神の呪縛💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-09-22,ビクター,スター・ウォーズレベルアサルト💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-09-30,セガ,ジュラシック・パーク💿,31,16,ACT,"￥7,140","￥7,000代",0,💿メガCD,,,,,,『Jurassic Park Adventures: Survivor』(2001年) 『Jurassic Park Adventures: Prey』(2001年) 『Jurassic Park Adventures: Flyers』(2002),,
1994-09-30,テクモ,キャプテン翼💿,-,16,-,-,-,0,💿メガCD,,,,,,高橋陽一,,
1994-09-30,ビクター,バトルコープス💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-10-28,ナムコ,スターブレード💿,-,16,-,-,-,0,💿メガCD,,中谷始,松浦則政|斉藤仁人|大森靖,柳川渉,細江慎治,,澤野和則|山田昌紀,
1994-11-11,セガ,アフターハルマゲドン外伝魔獣闘将伝エクリプス💿,-,16,-,-,-,0,💿メガCD,,,,,,,,
1994-11-25,コナミ,リーサルエンフォーサーズ2ザ・ウエスタン💿,-,16,-,-,-,0,💿メガCD,,波多野よしあき,波多野よしあき,スティーヴ・ジョンソン,福井健一郎,,,
