発売日,メーカー,タイトル,バックアップメモリ,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2004-11-25,エム・ティー・オー,かわいい仔犬ワンダフル,0,3,SLG,"￥5,040","￥5,000代",0,,,,,,,,
2004-11-25,バンダイ,機動戦士ガンダムSEEDDESTINY,0,3,ACT,"￥5,040","￥5,000代",0,,,,平井久司|大河原邦男|山根公利,佐橋俊彦,矢立肇|富野由悠季,,
2004-11-25,バンダイ,忘却の旋律,0,3,ADV,"￥6,090","￥6,000代",0,,,,長谷川眞也|吉成曜|宮尾佳和,桑野聖|周防義和,榎戸洋司,,
2004-11-25,任天堂,ゲームボーイウォーズアドバンス1+2,0,3,SLG,"￥4,751","￥5,000代",0,,,,,,,,
2004-11-27,アルゼ,アレックボードンアドベンチャータワー＆シャフトアドバンス,0,2,ACT,?,?,0,,,,,,,,
2004-12-02,バンダイ,Kiss×Kiss星鈴学園,0,2,SLG,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-02,ディースリー・パブリッシャー,Mr.インクレディブル,0,3,ACT,"￥5,040","￥5,000代",0,,,,,マイケル・ジアッキーノ,ブラッド・バード,,
2004-12-02,エレクトロニック・アーツ,ザ・アーブズシムズ・イン・ザ・シティ,0,5,ADV,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-02,イマジニア,シナモンゆめの大冒険,0,5,ACT,?,?,0,,,,,,,,
2004-12-02,エポック社,シルバニアファミリーファッションデザイナーになりたい！くるみリスの女の子,0,3,SLG,"￥5,040","￥5,000代",0,,須藤典彦[注 1],,松原徳弘|亀田祥倫,やまだ豊,青山剛昌,,
2004-12-02,コナミ,パワプロクンポケット7,0,3,SPT,"￥5,229","￥5,000代",0,,,,,,,,
2004-12-09,ビベンディ ユニバーサル ゲームズ,クラッシュ・バンディクーアドバンスわくわく友ダチ大作戦！,0,4,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-09,サンライズインタラクティブ,ケロロ軍曹対決！激走ケロンプリ大作戦であります！！,0,2,RCG,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-09,コナミ,コロッケ！Great時空の冒険者,0,4,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-09,ビベンディ ユニバーサル ゲームズ,スパイロアドバンスわくわく友ダチ大作戦！,0,4,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-09,ティーディーケイコア,ハロー！アイドルデビュー～キッズアイドル育成ゲーム～,0,3,SLG,?,?,0,,,,,,,,
2004-12-09,マーベラスインタラクティブ,ぷくぷく天然かいらんばんようこそ！イリュージョンランドへ,0,3,ADV,?,?,0,,,,,,,,
2004-12-09,バンダイ,ふたりはプリキュアありえな～い！夢の国は大迷宮,0,2,ACT,"￥5,040","￥5,000代",0,,西尾大介,,稲上晃,佐藤直紀,東堂いづみ,,
2004-12-09,アガツマ・エンタテインメント,ポケいぬ,0,3,?,?,?,0,,,,,,,,
2004-12-09,任天堂,ヨッシーの万有引力,0,3,ACT,"￥4,800","￥5,000代",0,,,,,,,,
2004-12-09,カプコン,ロックマンエグゼ5チーム・オブ・ブルース,0,3,RPG,"￥4,990","￥5,000代",0,,,,,,,,
2004-12-09,バンダイ,陰陽大戦記零式,0,3,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-10,カルチャーブレーン,ツインシリーズVol.3「ムシモン王者決定戦昆虫モンスター/スーパーチャイニーズラビリンス」,0,3,ETC,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-10,カルチャーブレーン,ツインシリーズVol.4「ハムハムモンスターEX/ファンタジーパズルハムスター物語魔法の迷宮1.2.3」,0,4,ETC,"￥4,599","￥4,500代",0,,,,,,,,
2004-12-10,カルチャーブレーン,ツインシリーズVol.5「わんわん名探偵EX/魔法の国のケーキ屋さん物語」,0,4,ETC,"￥4,599","￥4,500代",0,,,,,,,,
2004-12-10,カルチャーブレーン,ツインシリーズVol.6「わんにゃんアイドル学園/仔犬といっしょスペシャル」,0,3,ETC,"￥4,599","￥4,500代",0,,,,,,,,
2004-12-16,コナミ,GetRide！アムドライバー出撃！バトルパーティー,0,4,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-16,トミー,ZOIDSSAGAフューザーズ,0,3,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-16,アトラス,デュエル・マスターズ3,0,3,CARD,"￥5,040","￥5,000代",0,,,,平岡正幸|長森佳容|伊東英樹|伊東英樹(第1 - 50話)|平岡正幸|薮本陽輔|野田康行(第1・2期)|越貴文(第3期)|越貴文|橋詰力,坂部剛,松本しげのぶ(原作)| 金林洋(作画),,
2004-12-16,エム・ティー・オー,リトルパティシエケーキのお城,0,3,SLG,"￥5,040","￥5,000代",0,,,,,,,,
2004-12-16,コナミ,わがまま☆フェアリーミルモでポン！なぞのカギと真実のトビラ,0,3,ACT,"￥4,725","￥4,500代",0,,,,,,,,
2004-12-16,ティーディーケイコア,わんこ・みっくす,0,3,RPG,?,?,0,,,,,,,,
2004-12-16,イマジニア,真型メダロット(カブトバージョン),0,3,RPG,?,?,0,,,,,,,Terukado,
2004-12-16,イマジニア,真型メダロット(クワガタバージョン),0,3,RPG,?,?,0,,,,,,,Terukado,
