発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,⭐クロスレビュー(評価),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1990-01-19,NECアベニュー,ROM2KARAOKEVOLUME4💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-02-23,ナグザット,西村京太郎ミステリー北斗星の女💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,,,,,,,
1990-03-10,日本テレネット,ゴールデンアックス💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,,,内田誠,中林亨|高田陽,,,
1990-03-16,NECアベニュー,スーパーダライアス💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,31,,河野敏男,長谷川健|くりやまたかし|とみおかひであき|菅原徹|笹谷ひでのり|橋本英樹,河野敏男|藤田朗|三方一哉|きたがわてつろう|わきたよしひろ|鎗田準次|石川幸生|五十嵐恒三|栗城源也|讃岐平|おがわみつる,たなかやすひこ|小倉久佳|八木下直人|なかむらつかさ|高橋英吉|高木正彦,,河野敏男,
1990-03-23,日本テレネットNEC,ファイナルゾーンII💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1990-03-30,パック・イン・ビデオ,カルメン・サンディエゴを追え!世界編💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,,,,,,,
1990-03-30,日本テレネット,コズミック・ファンタジー冒険少年ユウ💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1990-03-30,ビクター音楽産業,ROM2カラオケVol.1すてきにスタンダード💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-03-30,ビクター音楽産業,ROM2カラオケVol.2なっとくアイドル💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-04-06,ビクター音楽産業,ROM2カラオケVol.3やっぱしバンド💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-04-06,ビクター音楽産業,ROM2カラオケVol.4ちょいとおとな!?💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-04-06,ビクター音楽産業,ROM2カラオケVol.5カラオケ幕の内💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-04-13,ハドソン,上海II💿,PCE💿CDROM,💿512MB,PZL,調査中,調査中,0,-,,,,,,,,
1990-04-23,NECアベニュー,ROM2KARAOKEVOLUME5💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-04-27,マイクロキャビン,スーパー大戦略💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1990-04-27,日本テレネット,デス・ブリンガー💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,羽成正己,高井政彦|越智一裕|酉沢安施,小川史生|佐藤天平,,,
1990-06-15,ビクター音楽産業,ウルトラボックス創刊号💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-06-29,ハドソン,うる星やつらSTAYWITHYOU💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,30,,島田周樹|高津敏之,菊池賢次|中田伸一,久保久,中橋望,高津敏之|チャーリー,清水始,
1990-06-29,メサイヤ,ソル・ビアンカ💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1990-07-06,日本テレネット,迷宮のエルフィーネ💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,,,,,,,
1990-08-24,ビクター音楽産業NEC,マジカルサウルスツアーMagicalDinosaurTour💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-08-31,ブレイングレイ,ラスト・ハルマゲドン💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,渡辺裕志,飯島健男|武井一昌|小林功一郎|西塚耕一|中井覚,葉山宏治|猪瀬勝幸,飯島健男,,
1990-09-07,日本テレネットNEC,ヴァリスIII💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1990-09-14,ハドソン,みつばち学園💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,酒井啓行|松永智史,松永建太,松浦浩司,宮元真佐人,酒井啓行|長山豊,清水始,
1990-09-21,日本テレネット,レギオン💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1990-09-28,ビクター音楽産業,ウルトラボックス第2号💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1990-10-05,インテック,ザ・プロ野球💿,PCE💿CDROM,💿512MB,SPT,調査中,調査中,0,-,,,,,,,,
1990-10-09,日本テレネット,雀偵物語💿,PCE💿CDROM,💿512MB,TBL,調査中,調査中,0,-,,,,,,,,
1990-11-02,日本テレネット,デコボコ伝説走るワガマンマー💿,PCE💿CDROM,💿512MB,RCG,調査中,調査中,0,-,,,,,,,,
1990-11-23,ハドソンNEC,J.B.ハロルドシリーズマーダークラブ💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,,,,,,浜田省吾,
1990-12-07,日本テレネット,アヴェンジャー💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1990-12-07,メサイヤ,らんま1/2💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,望月智充,,中嶋敦子|谷口宏美,和田薫,高橋留美子,,
1990-12-20,ヒューマンCRWorking Designs,バスティール💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1990-12-28,ビクター音楽産業,ウルトラボックス第3号💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1991-01-25,パック・イン・ビデオ,ガルクライトTDF2💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1991-02-15,NECアベニュー,クイズアベニュー💿,PCE💿CDROM,💿512MB,QUIZ,調査中,調査中,0,-,,松田浩二,長谷川健,小森谷勇一郎|見田竜介,宮元真佐人,,多部田俊雄,
1991-02-15,マイクロキャビン,マスターオブモンスターズ💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1991-03-15,メサイヤ,CYBERCITYOEDO808獣の属性💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,山本哲也,斉藤満|高橋呉明|小林一美|柳謙一,青木勝志|渡部隆,山本敬一|本山淳弘|高木みゆき|山路敦司,斉藤満|浦畑達彦|六月十三,伊藤伸一|中村宏,
1991-03-22,ハドソンNEC,イースIII💿,PCE💿CDROM,💿512MB,ARPG,調査中,調査中,0,-,,,,,,,,
1991-03-22,工画堂スタジオ,魔晶伝紀ラ・ヴァルー💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1991-03-22,サン電子,マンホール💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,33,,,,,,,,
1991-03-22,パック・イン・ビデオ,ロードスピリッツ💿,PCE💿CDROM,💿512MB,RCG,調査中,調査中,0,-,,,,,,,,
1991-03-29,日本テレネットNEC,エグザイル時の狭間へ💿,PCE💿CDROM,💿512MB,ARPG,調査中,調査中,0,-,,,,,,,,
1991-03-29,ナグザット,三国志英傑天下に臨む💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1991-03-29,NECアベニュー,ダウンロード2💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1991-04-05,日本テレネットWorking Designs,コズミックファンタジー2冒険少年バンCosmicFantasy2💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1991-04-05,メサイヤ,エルディス💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,山本哲也,高野務|松岡三郎,牧野紀夫,本山淳弘|高木みゆき|前田華代子|岩崎琢|山路敦|牧野紀夫,牧野紀夫,土田俊郎,
1991-04-05,アトラス,クイズまるごとTheワールド💿,PCE💿CDROM,💿512MB,QUIZ,調査中,調査中,0,-,,,,,中西ゆういちろう,鈴木光司|久保幸湖|谷井美佳|中村真夕,山崎宏太(朝日放送テレビ)|南雄大(朝日放送テレビ)|齋藤浩司(ヒューマックスシネマ)|若山佑介(ヒューマックスシネマ)|山口誠(47style),
1991-04-12,日本テレネット,ハイグレネーダー💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1991-04-12,NECアベニュー,ヘルファイアーS💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,,,上村建也,,,
1991-04-19,ココナッツジャパン,パチ夫くん幻の伝説💿,PCE💿CDROM,💿512MB,TBL,調査中,調査中,0,-,,,,,,,,
1991-05-24,ビクター音楽産業,ウルトラボックス第4号💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1991-05-31,ハドソンTTI,ポンピングワールドBusterBros.💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1991-06-07,ハドソン,コブラII伝説の男💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,酒井啓行,飛田雅宏,秋元哲也|角谷篤志,中村暢之,島田良尚|長山豊|伝田由紀,,
1991-06-07,データウエスト,ライザンバーII💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,みなみふみお|わしずよしゆき,中村一秀|五十嵐丈晴,斉藤康仁,,TEAM 50,
1991-06-21,IGS,魔笛伝説アストラリウス💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1991-06-28,NECアベニューTTI,スプラッシュレイク💿,PCE💿CDROM,💿512MB,PZL,調査中,調査中,0,-,,,,,,,,
1991-06-28,インテック,戦国関東三国志💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,長井筆公司,白鳥修|佐藤満,麻々凪博|戸高博之|広岡弥|戸高博之|うっかり伝七|ZUNKO|スパーキー魔神|小人 神・王,林家権タロー|芸春人|徳ベエ|メタルまんきち,,,
1991-07-12,ナグザット,精霊戦士スプリガン💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,外山雄一,中嶋和之,迫田敏明|竹内啓史|長尾亮利|田中勝己,,仁井谷正充,
1991-07-26,ビクター音楽産業NEC,シャーロック・ホームズの探偵講座💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,30,,ケネス・トローラ,フレッド・アレン,マイケル・マニング|キャサリン・トゥーテリアン,,ローリー・ローズ・バウマン|アニー・フォックス,ケネス・トローラ,
1991-07-26,NECアベニュー,大旋風カスタム💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,,,太田理,,,
1991-08-09,リバーヒルソフト,BURAI八玉の勇士伝説💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1991-08-23,日本テレネット,ヴァリスIV💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1991-08-30,ハドソン,聖竜伝説モンビット💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,30,,,,,,,,
1991-09-27,ビクター音楽産業,ウルトラボックス第5号💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1991-10-11,NECアベニュー,クイズアベニューII💿,PCE💿CDROM,💿512MB,QUIZ,調査中,調査中,0,-,,,,,,,,
1991-10-25,日本物産,まーじゃんバニラシンドローム💿,PCE💿CDROM,💿512MB,TBL,調査中,調査中,0,-,,,,,,,,
1991-11-29,システムソフト,ロードオブウォーズ💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1991-12-06,工画堂スタジオ,スーパーシュヴァルツシルト💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1991-12-06,メサイヤ,らんま1/2とらわれの花嫁💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,成田伸子,橋谷利幸|佐藤伸,テンキー|中嶋敦子|成田伸子,神津裕之,成田伸子,鈴木力|土田俊郎,
1991-12-13,ブレイングレイ,エフェラアンドジリオラジ・エンブレムフロムダークネス💿,PCE💿CDROM,💿512MB,ARPG,調査中,調査中,0,-,,,,土器手司|大貫健一|大畑晃一,,山本優,,
1991-12-13,インテック,太平記💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1991-12-13,パック・イン・ビデオ,秘宝伝説クリスの冒険💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1991-12-20,日本テレネット,なりトレザ・スゴロク'92💿,PCE💿CDROM,💿512MB,TBL,調査中,調査中,0,-,,,,,,,,
1991-12-27,タイトー,斬陽炎の時代💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1992-01-24,NECアベニュー,マイト・アンド・マジック💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1992-01-31,ビクター音楽産業,ウルトラボックス第6号💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1992-02-21,IGS,IQPANIC💿,PCE💿CDROM,💿512MB,QUIZ,調査中,調査中,0,-,,,,,,,,
1992-02-28,メサイヤ,改造町人シュビビンマン3-異界のプリンセス💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,,濱田信次|川上直哉|島尻雅人,鈴木政幸|斉藤智晴|有賀等|延東史朗|市丸雅彦|永井一成,葉山宏治,,土田俊郎,
1992-02-28,タイトー,ぎゅわんぶらあ自己中心派麻雀パズルコレクション💿,PCE💿CDROM,💿512MB,PZL,調査中,調査中,0,-,,,,,,,,
1992-02-28,アトラス,雀偵物語2宇宙探偵ディバン/出動編💿,PCE💿CDROM,💿512MB,TBL,調査中,調査中,0,-,,,,,,,,
1992-03-13,ビクター音楽産業NEC,ライジングサンLordsoftheRisingSun💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1992-03-13,メサイヤ,魔物ハンター妖子魔界からの転校生💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,,,,,,,
1992-03-20,パック・イン・ビデオ,マインスウィーパー💿,PCE💿CDROM,💿512MB,PZL,調査中,調査中,0,-,,,,,,,,
1992-03-27,パック・イン・ビデオ,川のぬし釣り自然派💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1992-03-27,アトラス,クイズまるごとTheワールド2タイムマシンにおねがい!💿,PCE💿CDROM,💿512MB,QUIZ,調査中,調査中,0,-,,,,,中西ゆういちろう,鈴木光司|久保幸湖|谷井美佳|中村真夕,山崎宏太(朝日放送テレビ)|南雄大(朝日放送テレビ)|齋藤浩司(ヒューマックスシネマ)|若山佑介(ヒューマックスシネマ)|山口誠(47style),
1992-04-24,アトラス,雀偵物語2宇宙探偵ディバン/完結編💿,PCE💿CDROM,💿512MB,TBL,調査中,調査中,0,-,,,,,,,,
1992-07-10,ココナッツジャパン,カラーウォーズ💿,PCE💿CDROM,💿512MB,TBL,調査中,調査中,0,-,,,,,,,,
1992-07-17,ナグザット,サマーカーニバル'92アルザディック💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1992-07-17,ハドソン,ロードス島戦記💿,PCE💿CDROM,💿512MB,RPG,調査中,調査中,0,-,,,,,,安田均(テーブルトークRPG),,
1992-09-18,ナグザット,ゼロウィング💿,PCE💿CDROM,💿512MB,SHT,調査中,調査中,0,-,,,,,上村建也|富沢敏明|弓削雅稔,,,
1992-10-02,ナグザット,スターモビール💿,PCE💿CDROM,💿512MB,PZL,調査中,調査中,0,-,,,,,,,,
1992-10-10,ハドソン,クイズ殿様の野望💿,PCE💿CDROM,💿512MB,QUIZ,調査中,調査中,0,-,,,松嶋延幸|中井一仁,飯島哲也|C.KANEMITSU|M.OKAZAKI|KITASAN|MARILYN HIGUCHI,松前真奈美|GIPS.PAPA,,岡本吉起,
1992-11-20,ナグザット,横山光輝真・三国志💿,PCE💿CDROM,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1992-12-18,アスク講談社,上海IIIドラゴンズアイ💿,PCE💿CDROM,💿512MB,PZL,調査中,調査中,0,-,,,,,,,,
1993-02-12,日本テレネット,コズミック・ファンタジービジュアル集💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1993-02-19,日本テレネット,ヴァリスビジュアル集💿,PCE💿CDROM,💿512MB,他,調査中,調査中,0,-,,,,,,,,
1993-02-26,タイトー,幻蒼大陸オーレリア💿,PCE💿CDROM,💿512MB,ARPG,調査中,調査中,0,-,,,,,,,,
1993-05-28,ビクター音楽産業TTI,シャーロック・ホームズの探偵講座IISherlockHolmes:ConsultingDetectiveVol.II💿,PCE💿CDROM,💿512MB,ADV,調査中,調査中,0,-,,,,,,,,
1993-05-28,ハドソン,クイズキャラバンカルトQ💿,PCE💿CDROM,💿512MB,QUIZ,調査中,調査中,0,-,,,,,,,,
1993-06-30,NECアベニュー,レインボーアイランド💿,PCE💿CDROM,💿512MB,ACT,調査中,調査中,0,-,,,藤末一郎|みきこうじ|おくのこうじ,三辻富貴朗|三辻富貴朗|讃岐平,相澤静夫|小倉久佳,三辻富貴朗,,
1991-10-25,ハドソンTTI,ドラゴンスレイヤー英雄伝説💿,PCE💿SCD,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1991-10-25,日本テレネット,天使の詩💿,PCE💿SCD,💿512MB,RPG,調査中,調査中,0,31,,,,,,,,
1991-10-25,ハドソン,ポピュラスザ・プロミストランド💿,PCE💿SCD,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1991-11-08,リバーヒルソフトTTI,プリンス・オブ・ペルシャ💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,ジョーダン・メックナー,ジョーダン・メックナー,フランシス・メックナー,,ブライアン・エーラー,
1991-11-29,日本テレネット,レディファントム💿,PCE💿SCD,💿512MB,SLG,調査中,調査中,0,-,,中村光雄,清水昭博|木村こう姫|川出陽一,三橋幸雄|後藤正行,わかめ|さけ|村上慎吾|大坪弘人,三橋幸雄,羽成正己,
1991-12-20,アイレム,R-TYPECompleteCD💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,SUM|MISACHIN,ABIKO|AKIO|YOSHIGE,石崎正人,,,
1991-12-20,ナグザット,熱血高校ドッジボール部CDサッカー編💿,PCE💿SCD,💿512MB,SPT,調査中,調査中,0,-,,,,,,,,
1992-02-07,日本テレネット,ブロウニング💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1992-02-21,ハドソンTTI,ゲートオブサンダー💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,NINNIKI.NIN,METAL|SHELL|IDOL,ニック・ウッド,,,
1992-02-28,ヒューマン,ヒューマンスポーツフェスティバル💿,PCE💿SCD,💿512MB,SPT,調査中,調査中,0,-,,,,,,,,
1992-02-28,日本テレネット,未来少年コナン💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,宮崎駿|大塚康生,阿部海太郎,伊藤靖朗,,
1992-03-06,ナグザット,山村美紗サスペンス金盞花京絵皿殺人事件💿,PCE💿SCD,💿512MB,ADV,調査中,調査中,0,-,,,,,,,,
1992-03-13,パック・イン・ビデオ,HAWKF-123💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1992-03-19,日本テレネット,サイキック・ストーム💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1992-03-19,日本テレネット,夢幻戦士ヴァリス💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,林浩樹(グラフィック)|小川史生(音楽),秋篠雅弘,ウルフ・チーム|林浩樹,小川史生,林浩樹|三橋幸雄,林浩樹,
1992-03-26,ハドソン,天外魔境II卍MARU💿,PCE💿SCD,💿512MB,RPG,調査中,調査中,0,32,,桝田省治,岩崎啓眞|長谷川浩|藪芳昭|蝦名寿昌,広井王子(企画・監修)|辻野寅次郎(絵師・作画監督)|天城秀行,久石譲|福田裕彦,桝田省治(脚本・構成)|あだちひろし(翻案),清水始,
1992-03-27,NECアベニュー,フォゴットンワールド💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,江川陽一|こじまのりこ|TAKEYO|山之内一雅,安田朗|西谷亮|船水紀孝|岡本吉起|栗原明美|TAKATA|SHINSYUDON|新谷さゆり|EMETARO,河本圭代|坂口由洋,,,
1992-03-27,ビクター音楽産業,シャドー・オブ・ザ・ビースト魔性の掟💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1992-03-27,日本テレネット,BABEL💿,PCE💿SCD,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1992-04-01,マイクロワールド,ザ・デビスカップテニス💿,PCE💿SCD,💿512MB,SPT,調査中,調査中,0,-,,,,,,,,
1992-04-01,マイクロワールド,ビルダーランド💿,PCE💿SCD,💿512MB,PZL,調査中,調査中,0,-,,,,,,,,
1992-04-02,ハドソン,スーパー雷電💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,スタッフ参照,,,,,菅賢治|土屋敏男 ほか,
1992-04-03,メサイヤ,超時空要塞マクロス2036💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1992-04-24,ハドソン,スターパロジャー💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,山下孝|杉本尚志,川田忠之|横山祥|古橋秀幸|山元健司,斎藤寛志|渡辺人,,青山英治,
1992-05-01,ライトスタッフTTI,テラフォーミングSydMead'sTerraforming💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1992-05-29,マイクロキャビン,キャンペーン版大戦略II💿,PCE💿SCD,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1992-05-29,ハドソン,ドラえもんのび太のドラビアンナイト💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,菊池俊輔,藤子・F・不二雄,,
1992-06-19,ハドソン,アドベンチャークイズカプコンワールドハテナの大冒険💿,PCE💿SCD,💿512MB,QUIZ,調査中,調査中,0,-,,,,,,,,
1992-06-25,リバーヒルソフト,トップをねらえ!GunBusterVOL.1💿,PCE💿SCD,💿512MB,ADV,調査中,調査中,0,-,,,,,,,,
1992-06-26,日本物産,F-1CIRCUSSPECIAL💿,PCE💿SCD,💿512MB,RCG,調査中,調査中,0,-,,,,,,,,
1992-06-26,ブレイングレイ,ジェノサイド💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1992-06-26,データウエスト,ライザンバーIII💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,みなみふみお|わしずよしゆき,中村一秀|五十嵐丈晴,斉藤康仁,,TEAM 50,
1992-07-17,ビクター音楽産業,ソーサリアン💿,PCE💿SCD,💿512MB,ARPG,調査中,調査中,0,-,,,木屋善夫,木屋善夫|山根ともお|都築和彦|大浦孝浩|佐藤善美|古代彩乃|小林誠(マニュアルイラスト),古代祐三|石川三恵子|竹林令子|永田英哉,五十嵐哲也|富一成|山根ともお|都築和彦,加藤正幸,
1992-07-24,日本テレネット,ぽっぷ'nまじっく💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1992-07-31,マイクロワールドNEC,ザ・キックボクシングAndrePanzaKickBoxing💿,PCE💿SCD,💿512MB,SPT,調査中,調査中,0,-,,,,,,,,
1992-07-31,NECアベニュー,ボナンザブラザーズ💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,並木晃一,,,
1992-08-07,NECアベニュー,ドラゴンナイトII💿,PCE💿SCD,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1992-08-10,サン電子,クイズの星💿,PCE💿SCD,💿512MB,QUIZ,調査中,調査中,0,-,,北川正昭|JOE! JOE! JOE!,北川正昭|m.y.a|UTUGIUS祝進級,S.GIANTS,PHASE OUT,,吉田喜春,
1992-08-28,マイクロワールド,ベイビー・ジョー💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1992-08-29,ヒューマン,ファージアスの邪皇帝💿,PCE💿SCD,💿512MB,RPG,調査中,調査中,0,-,,,カイザー,阿部賢一,庭山博也|田中宏|米沢正弘|太谷哲司|山崎正通,矢野了也|高野希義|いいやんさんすー,,
1992-09-04,日本テレネット,TRAVELエプル💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1992-09-11,日本テレネット,F-1チームシミュレーションプロジェクトF💿,PCE💿SCD,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1992-09-18,ビクター音楽産業TTI,ダンジョン・マスターセロンズ・クエストDungeonMaster💿,PCE💿SCD,💿512MB,RPG,調査中,調査中,0,30,,,,,,,,
1992-09-22,日本テレネットWorking Designs,エグザイルII邪念の事象Exile:WickedPhenomenon💿,PCE💿SCD,💿512MB,ARPG,調査中,調査中,0,-,,,,,,,,
1992-09-25,ビクター音楽産業TTI,LOOM💿,PCE💿SCD,💿512MB,ADV,調査中,調査中,0,-,,,,,作詞:Toshl 作曲:青木秀一,,Toshl,
1992-09-25,日本テレネット,コズミック・ファンタジー3冒険少年レイ💿,PCE💿SCD,💿512MB,RPG,調査中,調査中,0,-,,,,,,,,
1992-09-29,ビクター音楽産業TTI,シェイプシフター魔界英雄伝ShapeShifter💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1992-10-01,ソフィックス,YAWARA!💿,PCE💿SCD,💿512MB,ADV,調査中,調査中,0,-,,,,兼森義則|兼森義則|君塚勝教,森英治,井上敏樹,,
1992-10-02,メサイヤ,らんま1/2打倒、元祖無差別格闘流!💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,南浩史,高橋呉明|小林一美|南浩史,,本山淳弘|高木みゆき|前田華代子|岩崎琢,南浩史,土田俊郎,
1992-10-09,インテック,ザ・プロ野球SUPER💿,PCE💿SCD,💿512MB,SPT,調査中,調査中,0,-,,,,,,,,
1992-10-09,マイクロワールド,スライムワールド💿,PCE💿SCD,💿512MB,ACT,調査中,調査中,0,-,,,,,,,,
1992-10-23,日本テレネット,キアイダン00💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,CM ひげぴん|ORI,野上真一,CM ひげぴん|開田裕治,森永由美子|猫乃あまえ♂|吉川雄次,久保基史,佐々木哲哉|小川史生,
1992-10-23,ハドソン,銀河お嬢様伝説ユナ💿,PCE💿SCD,💿512MB,ADV,調査中,調査中,0,-,,,,,,明貴美加,,
1992-10-23,コナミ,スナッチャー💿,PCE💿SCD,💿512MB,ADV,調査中,調査中,0,33,,小島秀夫,足立敏哉,小島秀夫|木下富晴|太田良彦,碇子正広,小島秀夫,桐田富和|春木豊,
1992-11-20,データウエスト,サイキック・ディテクティヴ・シリーズVol.3アヤ💿,PCE💿SCD,💿512MB,ADV,調査中,調査中,0,-,,,,,,,,
1992-11-27,テイチク,ゴッドパニック至上最強軍団💿,PCE💿SCD,💿512MB,SHT,調査中,調査中,0,-,,,,,,,,
1992-11-27,サンソフト,レミングス💿,PCE💿SCD,💿512MB,PZL,調査中,調査中,0,-,,,デイブ・ジョーンズ(英語版),ゲイリー・ティモンズ|スコット・ジョンストン,ブライアン・ジョンストン|ティム・ライト(英語版),,,
1992-12-04,工画堂スタジオ,スーパーシュヴァルツシルト2💿,PCE💿SCD,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
1992-12-04,メサイヤ,超時空要塞マクロス永遠のラヴソング💿,PCE💿SCD,💿512MB,SLG,調査中,調査中,0,-,,,,,,,,
