年,未使用1,税区分,未使用2,都道府県,市区町村,業種(サンプル),未使用,カウント
2008-01-01,0,2,不明,北海道,登別市,業種A,0,41
2008-01-01,0,0,不明,北海道,恵庭市,業種I,0,117
2008-01-01,0,1,不明,北海道,恵庭市,業種B,0,7
2008-01-01,0,2,不明,北海道,恵庭市,業種I,0,49
2008-01-01,0,0,不明,北海道,伊達市,業種A,0,104
2008-01-01,0,1,不明,北海道,伊達市,業種B,0,6
2008-01-01,0,2,不明,北海道,伊達市,業種H,0,45
2008-01-01,0,0,不明,北海道,北広島市,業種H,0,126
2008-01-01,0,1,不明,北海道,北広島市,業種G,0,9
2008-01-01,0,2,不明,北海道,北広島市,業種J,0,57
2008-01-01,0,0,不明,北海道,石狩市,業種A,0,133
2008-01-01,0,1,不明,北海道,石狩市,業種J,0,9
2008-01-01,0,2,不明,北海道,石狩市,業種D,0,65
2008-01-01,0,0,不明,北海道,北斗市,業種J,0,97
2008-01-01,0,1,不明,北海道,北斗市,業種E,0,7
2008-01-01,0,2,不明,北海道,北斗市,業種E,0,48
2008-01-01,0,0,不明,北海道,当別町,業種B,0,112
2008-01-01,0,1,不明,北海道,当別町,業種F,0,13
2008-01-01,0,2,不明,北海道,当別町,業種D,0,53
2008-01-01,0,0,不明,北海道,新篠津村,業種E,0,78
2008-01-01,0,1,不明,北海道,新篠津村,業種B,0,4
2008-01-01,0,2,不明,北海道,新篠津村,業種E,0,34
2008-01-01,0,0,不明,北海道,松前町,業種H,0,65
2008-01-01,0,1,不明,北海道,松前町,業種B,0,4
2008-01-01,0,2,不明,北海道,松前町,業種E,0,22
2008-01-01,0,0,不明,北海道,福島町,業種J,0,86
2008-01-01,0,1,不明,北海道,福島町,業種B,0,5
2008-01-01,0,2,不明,北海道,福島町,業種D,0,42
2008-01-01,0,0,不明,北海道,知内町,業種C,0,149
2008-01-01,0,1,不明,北海道,知内町,業種I,0,8
2008-01-01,0,2,不明,北海道,知内町,業種B,0,104
2008-01-01,0,0,不明,北海道,木古内町,業種A,0,82
2008-01-01,0,1,不明,北海道,木古内町,業種F,0,6
2008-01-01,0,2,不明,北海道,木古内町,業種E,0,37
2008-01-01,0,0,不明,北海道,七飯町,業種A,0,93
2008-01-01,0,1,不明,北海道,七飯町,業種G,0,6
2008-01-01,0,2,不明,北海道,七飯町,業種H,0,45
2008-01-01,0,0,不明,北海道,鹿部町,業種F,0,95
2008-01-01,0,1,不明,北海道,鹿部町,業種F,0,5
2008-01-01,0,2,不明,北海道,鹿部町,業種F,0,47
2008-01-01,0,0,不明,北海道,森町,業種B,0,87
2008-01-01,0,1,不明,北海道,森町,業種C,0,8
2008-01-01,0,2,不明,北海道,森町,業種B,0,39
2008-01-01,0,0,不明,北海道,八雲町,業種I,0,97
2008-01-01,0,1,不明,北海道,八雲町,業種E,0,8
2008-01-01,0,2,不明,北海道,八雲町,業種H,0,40
2008-01-01,0,0,不明,北海道,長万部町,業種G,0,92
2008-01-01,0,1,不明,北海道,長万部町,業種G,0,8
2008-01-01,0,2,不明,北海道,長万部町,業種B,0,41
2008-01-01,0,0,不明,北海道,江差町,業種J,0,96
2008-01-01,0,1,不明,北海道,江差町,業種B,0,8
2008-01-01,0,2,不明,北海道,江差町,業種G,0,40
2008-01-01,0,0,不明,北海道,上ノ国町,業種H,0,61
2008-01-01,0,1,不明,北海道,上ノ国町,業種G,0,2
2008-01-01,0,2,不明,北海道,上ノ国町,業種E,0,23
2008-01-01,0,0,不明,北海道,厚沢部町,業種A,0,88
2008-01-01,0,1,不明,北海道,厚沢部町,業種C,0,5
2008-01-01,0,2,不明,北海道,厚沢部町,業種I,0,40
2008-01-01,0,0,不明,北海道,乙部町,業種A,0,69
2008-01-01,0,1,不明,北海道,乙部町,業種C,0,6
2008-01-01,0,2,不明,北海道,乙部町,業種G,0,23
2008-01-01,0,0,不明,北海道,奥尻町,業種A,0,97
2008-01-01,0,1,不明,北海道,奥尻町,業種A,0,4
2008-01-01,0,2,不明,北海道,奥尻町,業種C,0,38
2008-01-01,0,0,不明,北海道,今金町,業種I,0,85
2008-01-01,0,1,不明,北海道,今金町,業種A,0,5
2008-01-01,0,2,不明,北海道,今金町,業種E,0,40
2008-01-01,0,0,不明,北海道,せたな町,業種D,0,69
2008-01-01,0,1,不明,北海道,せたな町,業種B,0,4
2008-01-01,0,2,不明,北海道,せたな町,業種F,0,30
2008-01-01,0,0,不明,北海道,島牧村,業種H,0,59
2008-01-01,0,1,不明,北海道,島牧村,業種I,0,3
2008-01-01,0,2,不明,北海道,島牧村,業種C,0,24
2008-01-01,0,0,不明,北海道,寿都町,業種I,0,73
2008-01-01,0,1,不明,北海道,寿都町,業種J,0,6
2008-01-01,0,2,不明,北海道,寿都町,業種G,0,22
2008-01-01,0,0,不明,北海道,黒松内町,業種F,0,83
2008-01-01,0,1,不明,北海道,黒松内町,業種B,0,6
2008-01-01,0,2,不明,北海道,黒松内町,業種E,0,39
2008-01-01,0,0,不明,北海道,蘭越町,業種A,0,80
2008-01-01,0,1,不明,北海道,蘭越町,業種I,0,3
2008-01-01,0,2,不明,北海道,蘭越町,業種F,0,38
2008-01-01,0,0,不明,北海道,ニセコ町,業種I,0,140
2008-01-01,0,1,不明,北海道,ニセコ町,業種C,0,5
2008-01-01,0,2,不明,北海道,ニセコ町,業種H,0,84
2008-01-01,0,0,不明,北海道,真狩村,業種J,0,81
2008-01-01,0,1,不明,北海道,真狩村,業種A,0,3
2008-01-01,0,2,不明,北海道,真狩村,業種D,0,34
2008-01-01,0,0,不明,北海道,留寿都村,業種E,0,195
2008-01-01,0,1,不明,北海道,留寿都村,業種B,0,6
2008-01-01,0,2,不明,北海道,留寿都村,業種A,0,135
2008-01-01,0,0,不明,北海道,喜茂別町,業種B,0,115
