発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,カウント,メモリ(S-RAM)(Kbit),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1994-03-25,ナムコ,ザブルークリスタルロッド,-,7,ADV,"￥9,800","￥10,000代",0,64,,,,遠藤雅伸|篠崎雄一郎,小沢純子,遠藤雅伸,,
1994-03-25,日本コンピュータシステム,あらいぐまラスカル,-,4,PZL,"￥8,900","￥9,000代",0,0,,,,遠藤政治,渡辺岳夫,トーマス・スターリング・ノース|『はるかなるわがラスカル』,,
1994-03-25,キャラクターソフト,けろけろけろっぴの冒険日記,-,2,RPG,"￥6,980","￥7,000代",0,0,,,,,,,,
1994-03-25,データイースト,シャドウラン,31,5,RPG,"￥9,800","￥10,000代",0,64,,,,,,,,
1994-03-25,バンプレスト,剣勇伝説ヤイバ(YAIBA),-,6,RPG,"￥9,800","￥10,000代",0,64,,,,,,,,
1994-03-25,タイトー,スペースインベーダーTHEORIGINALGAME,-,2,SHT,"￥4,980","￥5,000代",0,0,,,,,,,,
1994-03-25,バンプレスト,スーパーロボット大戦EX,-,6,SLG,"￥9,800","￥10,000代",37,64,,阪田雅彦,庄真宏,福地仁|守谷淳一|レイアップ,細井一司|田中伸一|山根昇,阪田雅彦,じっぱひとからげ,
1994-03-25,アクレイムジャパン,チャンピオンズワールドクラスサッカー,-,4,SPT,"￥8,900","￥9,000代",0,0,,,,,,,,
1994-03-25,カプコン,ロックマンズサッカー,-,5,SPT,"￥9,000","￥9,000代",0,0,,,谷口蛙,三並達也,岡本智郎|富沢賢一|富樫則彦,,藤原得郎,
1994-03-25,ヨネザワ,スーパーホッケー'94,-,4,SPT,"￥8,900","￥9,000代",0,0,,,,,,,,
1994-03-25,セタ,スーパーリアル麻雀PIV,-,7,TBL,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-03-25,ナグザット,スーパー五目ならべ連珠,-,4,TBL,"￥8,800","￥9,000代",0,0,,,,,,,,
1994-03-26,バンダイ,テレビアニメスラムダンク四強激突!!,-,6,SPT,"￥9,800","￥10,000代",0,0,,西沢信孝,,佐藤正樹,増田隆宣(第69話まで)|BMF(第70話以降),井上雄彦,,
1994-03-30,カプコン,マッスルボマー,-,9,SPT,"￥9,980","￥10,000代",0,0,,,松嶋延幸,佐渡敬|原哲夫(キャラクターデザイン)[注 1],泉谷雅樹|梶野俊夫|西垣俊|水月陵|大内伸弘,,,
1994-03-30,コナミ,真・麻雀,-,2,TBL,"￥9,000","￥9,000代",0,64,,,,,,,,
1994-03-31,日本物産,アンドレ・アガシテニス,-,2,SPT,"￥8,800","￥9,000代",0,0,,,,,,,,
1994-04-01,フォーラム,スーパーインディチャンプ,-,4,RCG,"￥9,200","￥9,000代",0,64,,,,,,,,
1994-04-01,バップ,スーパーダブル役満,-,2,TBL,"￥9,000","￥9,000代",0,0,,,,,ナオト・インティライミ(作詞・作曲),,,
1994-04-02,スクウェア,ファイナルファンタジーⅥ,37,9,RPG,"￥11,400","￥11,500代",255,64,,北瀬佳範,成田賢,天野喜孝,植松伸夫,坂口博信(原案)|北瀬佳範|野島一成,坂口博信,
1994-04-06,光栄,項劉記,-,6,SLG,"￥12,800","￥13,000代",0,64,,,,,長谷川智樹,,シブサワ・コウ,
1994-04-08,ダイナミック企画,紫炎ザ・ブレイドチェイサー,-,7,ACT,"￥9,600","￥9,500代",0,0,,,,,,,,
1994-04-08,EAV,NHLプロホッケー'94,-,4,SPT,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-04-08,ナグザット,スーパー囲碁碁王,-,2,TBL,"￥14,800","￥15,000代",0,0,,,,,,,,
1994-04-15,アルトロン,ピンクパンサー,-,4,ACT,"￥9,500","￥9,500代",0,0,,,,,クリストフ・ベック|ヘンリー・マンシーニ(テーマ曲),レン・ブラム|スティーヴ・マーティン,,
1994-04-15,バンダイ,ろくでなしBLUES対決!東京四天王,-,6,ACT,"￥9,800","￥10,000代",0,0,,,,,,,,
1994-04-15,ヘクト,夢迷宮きぐるみ大冒険,-,4,RPG,"￥9,800","￥10,000代",0,64,,,,,,,,
1994-04-22,ビデオシステム,F-1GRANDPRIXPARTⅢ,-,7,RCG,"￥9,900","￥10,000代",0,64,,,,,,,,
1994-04-22,データム・ポリスター,メルヘンアドベンチャーコットン100%,-,7,SHT,"￥9,300","￥9,500代",0,0,,,,,,,,
1994-04-22,ベック,機動警察パトレイバー,-,6,SLG,"￥9,800","￥10,000代",0,64,,,,ゆうきまさみ(原案)|高田明美|出渕裕|高田明美|出渕裕|佐山善則,,押井守|横手美智子|伊藤和典他,,
1994-04-28,東宝、小学館プロダクション,らんま1／2超技乱舞篇,-,8,ACT,"￥9,980","￥10,000代",0,0,,賀川邦彦,瓦吹隆|富沢賢一|坪井哲央,丸哲郎|丸哲郎|中林勝則|竹村浩,岡本智郎,木村初,盛武源|角田純一|竹野雅人|頼経康史,
1994-04-28,ハドソン,スーパーボンバーマン2,-,4,ACT,"￥8,500","￥8,500代",0,0,,KYON KYON,清本哲郎|B.HANAWA|鈴木俊之,平井隆之|平井隆之|沼宮内純也|日下純,福田裕彦,,RAOH SHIMADA,
