発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1997-08-08,タカラ,THEGAMEOFLIFE人生ゲーム(廉価版),1,4,TBL,"￥3,980","￥4,000代",0,,,,,,,,
1997-08-12,トミー,マッハGoGoGo,1,4,RCG,"￥4,800","￥5,000代",0,,,,須田正己|堀井敏之|小川浩|吉田すずか,稲葉光秀,竜の子プロダクション,,
1997-08-22,Jウィング,ディノブリーダー,1,4,SLG,"￥4,800","￥5,000代",0,,くれやまと,まつながちえみ|山本哲也,永島三人|ロボロフスキー|舟橋正恭|ZA-ZA KOBAYASHI,NIKAIUTA UOH,,,
1997-08-29,アテナ,マネーアイドルエクスチェンジャー,1,4,PZL,"￥3,980","￥4,000代",0,,,PIGGY,STARMAN|石田敦子,末村謙之輔|富樫則彦,,浅井健吾,
1997-08-29,イマジニア,"合格ボーイシリーズ高校入試“でる順""漢字問題の征服",1,4,ETC,"￥2,480","￥2,500代",0,,,,,,,,
1997-09-19,パック・イン・ソフト,川のぬし釣り3,1,5,RPG,"￥3,600","￥3,500代",0,,,まつもとしん,有田和博,水田陽子,,宮沢徹|石川真理子,
1997-09-25,コナミ,コナミGBコレクションvol.1,1,5,ETC,"￥3,980","￥4,000代",0,,,,,,,,
1997-09-26,イマジニア,合格ボーイシリーズ「解体英熟語」完全準拠Z会究極の英熟語1017,1,4,ETC,"￥2,000","￥2,000代",0,,,,,,,,
1997-09-26,スターフィッシュ,おやつクイズもぐもぐQTHEQUIZGAME,1,4,TBL,"￥3,500","￥3,500代",0,,,,,,,,
1997-09-26,ココナッツジャパンエンターテイメント,カードゲーム(ハッピープライス),1,2,TBL,"￥2,980","￥3,000代",0,,,,,,,,
1997-09-26,ココナッツジャパンエンターテイメント,シーザースパレス(ハッピープライス),1,3,TBL,"￥2,980","￥3,000代",0,,,,,,,,
1997-09-26,ココナッツジャパンエンターテイメント,フェラーリ(ハッピープライス),1,3,RCG,"￥2,980","￥3,000代",0,,,,,,,,
1997-09-26,Jウィング,ミニ4ボーイ2ファイナルエボリューション,1,5,RCG,"￥4,800","￥5,000代",0,,,,,,,,
1997-09-26,ココナッツジャパンエンターテイメント,ワールドカップストライカー(ハッピープライス),1,3,SPT,"￥2,980","￥3,000代",0,,,,,,,,
