日付,性別,年齢,政党,都道府県,立候補者名,職業,職業カテゴリ(未使用),カウント,職業カテゴリ,選挙制度,小選挙区,前・元・新,当選回数,推薦,性別>年齢,政党>性別,政党>年齢>性別,政党>都道府県,政党>職業カテゴリ
2024-10-27,♂男性,42,国民,茨城県,浅野 哲♂(42),国民民主党茨城県連代表、元日立製作所労組特別中央執行委員,0,1,政党役職,小選挙区,05,前,3,-,,,,,
2024-10-27,♂男性,45,立民,茨城県,青山 大人♂(45),立憲民主党茨城県連代表、元茨城県議会議員,0,1,政党役職,小選挙区,06,前,3,-,,,,,
2024-10-27,♂男性,38,無,茨城県,中村 勇太♂(38),元茨城県議会議員、自動車学校役員,0,1,議員,小選挙区,07,新,1,-,,,,,
2024-10-27,♂男性,70,自民,栃木県,船田 元♂(70),自民党衆議院議員総会長、元経済企画庁長官,0,1,議員,小選挙区,01,前,14,公明,,,,,
2024-10-27,♂男性,76,立民,栃木県,福田 昭夫♂(76),元栃木県知事、元総務政務官,0,1,首長,小選挙区,02,前,7,-,,,,,
2024-10-27,♂男性,45,自民,栃木県,簗 和生♂(45),元文部科学副大臣、元国土交通政務官,0,1,大臣,小選挙区,03,前,5,公明,,,,,
2024-10-27,♂男性,47,立民,栃木県,藤岡 隆雄♂(47),元金融庁課長補佐、元衆議院議員秘書,0,1,政治スタッフ,小選挙区,04,前,2,-,,,,,
2024-10-27,♂男性,69,自民,栃木県,茂木 敏充♂(69),元自民党幹事長、元外務大臣,0,1,政党役職,小選挙区,05,前,11,公明,,,,,
2024-10-27,♂男性,42,自民,群馬県,中曽根 康隆♂(42),元防衛政務官、元ＪＰモルガン証券社員,0,1,政務官,小選挙区,01,前,3,公明,,,,,
2024-10-27,♂男性,44,自民,群馬県,井野 俊郎♂(44),元防衛副大臣、元群馬県伊勢崎市議会議員,0,1,大臣,小選挙区,02,前,5,公明,,,,,
2024-10-27,♂男性,58,自民,群馬県,笹川 博義♂(58),元環境副大臣、元群馬県議会議員,0,1,大臣,小選挙区,03,前,5,公明,,,,,
2024-10-27,♂男性,57,自民,群馬県,福田 達夫♂(57),自民党幹事長代行、元自民党総務会長,0,1,政党役職,小選挙区,04,前,5,公明,,,,,
2024-10-27,♀女性,50,自民,群馬県,小渕 優子♀(50),自民党組織運動本部長、元経済産業大臣,0,1,その他,小選挙区,05,前,9,公明,,,,,
2024-10-27,♂男性,44,自民,埼玉県,村井 英樹♂(44),元官房副長官、元自民党国会対策副委員長,0,1,その他,小選挙区,01,前,5,公明,,,,,
2024-10-27,♂男性,66,自民,埼玉県,新藤 義孝♂(66),元経済再生担当大臣、元総務大臣,0,1,大臣,小選挙区,02,前,9,公明,,,,,
2024-10-27,♂男性,54,自民,埼玉県,黄川田 仁志♂(54),元内閣府副大臣、元外務政務官,0,1,大臣,小選挙区,03,前,5,公明,,,,,
2024-10-27,♂男性,50,自民,埼玉県,穂坂 泰♂(50),外務政務官、元埼玉県志木市議会議員,0,1,政務官,小選挙区,04,前,3,公明,,,,,
2024-10-27,♂男性,60,立民,埼玉県,枝野 幸男♂(60),元官房長官、元経済産業大臣,0,1,その他,小選挙区,05,前,11,-,,,,,
2024-10-27,♂男性,67,立民,埼玉県,大島 敦♂(67),立憲民主党企業団体交流委員長、元総務副大臣,0,1,政党役職,小選挙区,06,前,9,-,,,,,
2024-10-27,♀女性,59,立民,埼玉県,小宮山 泰子♀(59),立憲民主党埼玉県連代表、元埼玉県議会議員,0,1,政党役職,小選挙区,07,前,8,-,,,,,
2024-10-27,♂男性,58,自民,埼玉県,柴山 昌彦♂(58),元文部科学大臣、弁護士,0,1,大臣,小選挙区,08,前,8,公明,,,,,
2024-10-27,♂男性,48,立民,埼玉県,杉村 慎治♂(48),元衆議院議員秘書、元参議院議員秘書,0,1,議員,小選挙区,09,新,1,-,,,,,
2024-10-27,♂男性,69,立民,埼玉県,坂本 祐之輔♂(69),元埼玉県東松山市長、立憲民主党倫理委員長,0,1,首長,小選挙区,10,前,4,-,,,,,
2024-10-27,♂男性,72,自民,埼玉県,小泉 龍司♂(72),元法務大臣、元大蔵省証券局調査室長,0,1,大臣,小選挙区,11,前,8,公明,,,,,
2024-10-27,♂男性,50,立民,埼玉県,森田 俊和♂(50),介護福祉施設代表、元埼玉県議会議員,0,1,政党役職,小選挙区,12,前,3,-,,,,,
2024-10-27,♂男性,28,国民,埼玉県,橋本 幹彦♂(28),元航空自衛官、経営コンサルティング会社顧問,0,1,その他,小選挙区,13,新,1,-,,,,,
2024-10-27,♂男性,61,国民,埼玉県,鈴木 義弘♂(61),不動産会社代表、元埼玉県議会議員,0,1,政党役職,小選挙区,14,前,4,-,,,,,
2024-10-27,♂男性,60,自民,埼玉県,田中 良生♂(60),元内閣府副大臣、元国土交通副大臣,0,1,大臣,小選挙区,15,前,6,公明,,,,,
